name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Pallete of Bananas,80.6,351.2,1.14,0.82,0.64,2023-03-17,Port of Tianjin (China)
Corn (Canned),32.5,48.09,0.4,0.3,0.3,2023-03-24,Port of Busan (South Korea)
Garden Rake,29.0,1.67,1.15,0.47,0.31,2023-03-14,Port of Shanghai (China)
Bed,1317.54,76.42,1.58,1.45,1.28,2023-03-23,Port of Tokyo (Japan)
Pallete of Dog Food,237.88,452.41,1.04,0.97,1.31,,Port of Busan (South Korea)
Electric Toothbrush,22.99,0.17,0.14,0.03,0.07,2023-03-26,Port of Busan (South Korea)
Extra Large Box,55.62,1.2,1.46,0.8,0.57,2023-03-28,Port of Tianjin (China)
Hedge Trimmer,129.42,6.26,1.15,0.38,0.3,2023-03-22,Port of Busan (South Korea)
Sprinkler System,352.91,7.38,0.52,0.65,0.2,2023-03-16,Port of Shanghai (China)
Camera,1381.44,1.31,0.11,0.17,0.08,2023-03-22,Port of Shanghai (China)
Box of Crackers,2.16,0.22,0.17,0.05,0.06,2023-03-23,Port of Busan (South Korea)
Picture Frame,25.33,0.26,0.3,0.16,0.02,2023-03-23,Port of Tianjin (China)
Portable Bluetooth Keyboard,86.87,0.32,0.17,0.06,0.04,2023-03-19,Port of Tokyo (Japan)
Big Bag with Sand,55.5,671.28,1.37,0.91,0.27,2023-03-17,Port of Shanghai (China)
Pruning Shears,17.11,0.19,0.26,0.06,0.07,2023-03-26,Port of Busan (South Korea)
Television,194.31,5.64,0.82,0.57,0.3,2023-03-28,Port of Tokyo (Japan)
Electric Shaver,125.0,0.17,0.1,0.03,0.09,2023-03-23,Port of Tokyo (Japan)
Laptop Bag,28.23,1.3,0.27,0.39,0.11,2023-03-13,Port of Tianjin (China)
Skipping Rope,14.23,0.19,1.61,0.1,0.02,2023-03-24,Port of Shanghai (China)
Pallete of Cement,226.14,1185.12,1.21,1.05,1.27,2023-03-25,Port of Shanghai (China)
Camera,927.59,1.24,0.19,0.14,0.06,2023-03-23,Port of Busan (South Korea)
Portable Charger,35.19,0.57,0.12,0.06,0.04,2023-03-19,Port of Singapore (Singapore)
Large Shipping Tube,18.73,0.55,0.6,0.33,1.13,2023-03-16,Port of Tianjin (China)
Pallete of Coffee,273.46,959.77,1.14,0.98,1.23,,Port of Tianjin (China)
Garden Shears,25.5,0.81,0.22,0.08,0.02,2023-03-24,Port of Busan (South Korea)
Fitness Trackers,325.03,0.18,0.4,0.74,0.27,2023-03-21,Port of Shanghai (China)
Refrigerator,924.06,89.41,1.16,0.9,1.56,2023-03-25,Port of Shanghai (China)
Camera,705.09,0.89,0.2,0.15,0.1,2023-03-28,Port of Busan (South Korea)
Gardening Gloves,6.01,0.18,0.2,0.08,0.08,2023-03-17,Port of Shanghai (China)
Bed,1178.42,32.92,2.05,1.37,1.0,2023-03-15,Port of Busan (South Korea)
Bicycle,186.28,16.85,1.29,0.68,1.18,2023-03-19,Port of Busan (South Korea)
Yoga Mat,31.31,1.59,1.64,0.65,0.02,2023-03-25,Port of Shanghai (China)
Microwave,58.06,14.6,0.5,0.52,0.25,2023-03-19,Port of Tianjin (China)
Portable Charger,58.64,0.49,0.1,0.07,0.03,2023-03-13,Port of Tokyo (Japan)
Soccer Ball,23.49,0.47,0.21,0.21,0.25,2023-03-13,Port of Shanghai (China)
Rain Jacket,49.84,0.53,0.23,0.23,0.11,2023-03-20,Port of Busan (South Korea)
Small Flat Rate Box,9.17,0.31,0.2,0.24,0.08,2023-03-15,Port of Busan (South Korea)
Snowboard,295.7,4.62,1.21,0.31,0.06,2023-03-25,Port of Shanghai (China)
Pallete of Orange Juice,194.04,515.73,1.19,0.8,1.41,2023-03-27,Port of Tianjin (China)
Duffel Bag,56.93,1.25,0.52,0.52,0.27,2023-03-23,Port of Tokyo (Japan)
Skipping Rope,5.61,0.15,1.92,0.05,0.02,2023-03-23,Port of Tokyo (Japan)
Office Chair,63.89,8.04,0.61,0.53,1.14,2023-03-27,Port of Tianjin (China)
Hedge Trimmer,134.55,2.03,0.81,0.2,0.18,2023-03-25,Port of Tianjin (China)
Desk Lamp,15.04,0.6,0.14,0.2,0.3,2023-03-18,Port of Shanghai (China)
Golf Cart,3103.59,493.86,1.83,0.98,1.34,2023-03-19,Port of Tianjin (China)
Backpack,48.72,0.6,0.29,0.53,0.14,2023-03-21,Port of Shanghai (China)
Apples,69.17,194.82,0.67,0.6,0.7,2023-03-18,Port of Busan (South Korea)
Coffee Beans,39.74,1.06,0.39,0.21,0.14,2023-03-20,Port of Tokyo (Japan)
Big Bag with Metal Scraps,214.47,1564.74,1.82,1.18,0.22,2023-03-23,Port of Tianjin (China)
Pallete of Paper Towels,272.44,604.45,1.35,0.96,0.66,2023-03-21,Port of Singapore (Singapore)
Pallete of Wine Bottles,331.28,893.9,1.13,1.03,0.27,2023-03-28,Port of Busan (South Korea)
Scooter,140.63,4.7,0.82,0.25,0.23,2023-03-22,Port of Singapore (Singapore)
Duffel Bag,33.75,2.7,0.63,0.41,0.28,2023-03-14,Port of Tokyo (Japan)
Apples,39.0,305.48,0.69,0.6,0.7,2023-03-23,Port of Singapore (Singapore)
Dining Table,658.21,58.0,1.03,0.95,0.63,2023-03-19,Port of Singapore (Singapore)
Wireless Earbuds,209.27,0.08,0.19,0.2,0.07,2023-03-17,Port of Tianjin (China)
Tennis Racket,146.99,0.49,0.64,0.11,0.1,2023-03-23,Port of Busan (South Korea)
Coffee Maker,275.16,2.27,0.3,0.22,0.25,2023-03-25,Port of Shanghai (China)
Watering Can,19.05,1.53,0.47,0.26,0.16,2023-03-24,Port of Tokyo (Japan)
MDF Boards,24.21,7.68,1.66,0.92,0.06,2023-03-26,Port of Singapore (Singapore)
Toaster,26.48,1.0,0.24,0.29,0.22,2023-03-18,Port of Singapore (Singapore)
Microwave Oven,109.62,10.21,0.46,0.53,0.22,2023-03-14,Port of Singapore (Singapore)
Bag of Flour,8.59,0.95,0.23,0.26,0.12,2023-03-16,Port of Tianjin (China)
Large Padded Envelope,5.06,0.16,0.25,0.17,0.09,2023-03-20,Port of Tokyo (Japan)
Pruning Saw,27.59,0.79,0.3,0.05,0.03,2023-03-27,Port of Shanghai (China)
Coffee Beans,26.2,1.78,0.4,0.29,0.12,2023-03-15,Port of Singapore (Singapore)
Big Bag with Fertilizer,79.95,409.61,1.36,0.92,0.21,2023-03-23,Port of Busan (South Korea)
Pallete of Canned Fruit,184.77,470.44,1.1,0.88,1.49,2023-03-12,Port of Tokyo (Japan)
Motorcycle,2114.16,264.15,2.35,0.73,1.34,2023-03-20,Port of Shanghai (China)
Large Padded Envelope,5.54,0.22,0.29,0.17,0.06,2023-03-16,Port of Tokyo (Japan)
Small Box,7.43,0.25,0.26,0.24,0.16,2023-03-28,Port of Tianjin (China)
Running Belt,21.0,0.11,0.21,0.07,0.08,2023-03-20,Port of Shanghai (China)
Pallete of Chairs,1410.66,3392.42,1.87,1.5,1.35,2023-03-24,Port of Shanghai (China)
Small Padded Envelope,4.14,0.15,0.16,0.07,0.02,2023-03-14,Port of Busan (South Korea)
Electric Shaver,63.64,0.18,0.19,0.02,0.1,2023-03-26,Port of Shanghai (China)
Beach Towel,19.13,0.98,1.99,0.64,0.08,2023-03-26,Port of Shanghai (China)
Camera,1308.99,1.44,0.16,0.16,0.06,2023-03-17,Port of Tianjin (China)
Cycling Helmet,36.41,0.68,0.21,0.21,0.21,2023-03-27,Port of Busan (South Korea)
Apples,76.65,119.27,0.91,0.6,0.7,2023-03-24,Port of Shanghai (China)
Pallete of Chips,144.47,276.19,1.09,0.82,1.42,2023-03-27,Port of Busan (South Korea)
Handheld Mixer,67.95,2.14,0.56,0.38,0.17,2023-03-18,Port of Tianjin (China)
Camera,479.62,1.47,0.15,0.18,0.06,2023-03-22,Port of Shanghai (China)
Microphone,61.22,0.25,0.06,0.09,0.18,2023-03-19,Port of Tokyo (Japan)
Toy Car,25.24,0.31,0.38,0.28,0.18,2023-03-20,Port of Shanghai (China)
Glass Sheets,63.02,30.84,1.21,1.31,0.09,2023-03-20,Port of Busan (South Korea)
Medium Flat Rate Box,24.23,0.51,0.47,0.26,0.14,2023-03-16,Port of Busan (South Korea)
Small Shipping Tube,3.83,0.19,0.21,0.05,0.37,2023-03-12,Port of Singapore (Singapore)
Wetsuit,194.37,1.65,0.88,0.47,0.06,2023-03-21,Port of Shanghai (China)
Assorted Chocolates,16.88,0.76,0.26,0.34,0.13,2023-03-20,Port of Tokyo (Japan)
Roofing Shingles,19.23,7.79,0.74,0.83,0.09,2023-03-26,Port of Shanghai (China)
Guitar,58.01,2.87,0.89,0.47,0.07,2023-03-21,Port of Shanghai (China)
Pallete of Water Bottles,78.14,212.39,1.2,1.5,1.07,2023-03-18,Port of Tokyo (Japan)
Toaster,50.98,1.12,0.58,0.22,0.11,2023-03-15,Port of Tianjin (China)
Armchair,442.36,17.7,0.88,0.74,0.83,2023-03-14,Port of Busan (South Korea)
PVC Pipes,18.03,3.63,1.86,0.06,1.76,2023-03-27,Port of Busan (South Korea)
Medium Flat Rate Box,21.43,0.72,0.76,0.57,0.17,2023-03-13,Port of Singapore (Singapore)
Box of Cans of Tuna,26.08,7.56,0.58,0.47,0.2,2023-03-21,Port of Singapore (Singapore)
Hoe,28.75,1.23,0.87,0.28,0.49,2023-03-12,Port of Tianjin (China)
Pallete of Tables,2299.38,5483.11,1.87,1.45,1.48,2023-03-24,Port of Busan (South Korea)
Microphone,146.6,0.2,0.09,0.05,0.12,2023-03-24,Port of Busan (South Korea)
Hair Dryer,87.33,1.2,0.28,0.2,0.18,2023-03-22,Port of Tianjin (China)
Toy Car,39.89,0.22,0.35,0.22,0.12,2023-03-27,Port of Busan (South Korea)
Pineapple (Canned),83.31,42.19,0.4,0.3,0.3,2023-03-17,Port of Singapore (Singapore)
Smartphone,383.74,0.13,0.11,0.08,0.01,2023-03-20,Port of Busan (South Korea)
Running Shoes,55.44,0.92,0.43,0.25,0.2,2023-03-22,Port of Tianjin (China)
Pallete of Cement,463.23,818.44,1.44,0.97,1.2,2023-03-21,Port of Tianjin (China)
Medium Box,13.45,0.42,0.53,0.35,0.23,2023-03-14,Port of Busan (South Korea)
Assorted Chocolates,24.59,0.74,0.29,0.31,0.13,2023-03-19,Port of Tokyo (Japan)
Gardening Gloves,14.76,0.24,0.15,0.07,0.07,2023-03-14,Port of Tokyo (Japan)
Big Bag with Sand,88.5,576.95,1.39,0.94,0.21,2023-03-16,Port of Singapore (Singapore)
Weed Eater,95.39,4.71,0.97,0.3,0.11,2023-03-23,Port of Shanghai (China)
Wireless Earbuds,374.2,0.08,0.22,0.13,0.09,2023-03-22,Port of Singapore (Singapore)
Jump Rope,6.6,0.12,0.06,0.09,0.02,2023-03-25,Port of Shanghai (China)
Forklift,5760.26,6085.86,2.03,1.25,1.9,2023-03-27,Port of Shanghai (China)
Air Conditioners,844.44,240.29,1.04,0.49,0.55,2023-03-16,Port of Singapore (Singapore)
PVC Pipes,18.44,1.89,1.65,0.07,0.41,2023-03-18,Port of Busan (South Korea)
Soap Dispenser,16.72,0.62,0.13,0.15,0.27,2023-03-24,Port of Tokyo (Japan)
Duvet,222.75,3.64,2.47,1.59,0.17,2023-03-18,Port of Shanghai (China)
Printer,133.16,10.11,0.56,0.33,0.15,2023-03-17,Port of Busan (South Korea)
Box of Toys,10.49,3.07,0.39,0.49,0.5,2023-03-15,Port of Busan (South Korea)
Pallete of Bananas,108.75,396.16,1.11,0.91,0.72,2023-03-21,Port of Busan (South Korea)
Rice,84.64,125.34,0.98,0.8,0.24,2023-03-20,Port of Busan (South Korea)
Pallete of Cleaning Products,198.88,744.08,1.04,0.83,1.35,2023-03-25,Port of Singapore (Singapore)
Showerhead,33.63,0.51,0.32,0.2,0.12,2023-03-14,Port of Singapore (Singapore)
Jar of Peanut Butter,9.6,0.57,0.14,0.15,0.13,2023-03-19,Port of Busan (South Korea)
Fruit Basket,51.08,1.65,0.42,0.26,0.28,2023-03-20,Port of Shanghai (China)
Piano,11047.94,310.15,1.21,0.92,1.2,2023-03-18,Port of Singapore (Singapore)
Pallete of Dog Food,153.46,458.76,1.14,0.97,1.49,2023-03-27,Port of Busan (South Korea)
Generators,3783.55,144.73,0.67,0.41,0.49,2023-03-15,Port of Singapore (Singapore)
Running Shoes,82.73,0.85,0.36,0.28,0.17,2023-03-12,Port of Tianjin (China)
Printer,116.26,13.7,0.36,0.32,0.16,2023-03-14,Port of Tianjin (China)
Large Shipping Tube,25.06,0.67,0.77,0.3,1.07,2023-03-24,Port of Tianjin (China)
Tea Kettle,42.31,1.29,0.44,0.36,0.24,2023-03-28,Port of Tokyo (Japan)
Vacuum Cleaner,202.68,9.91,0.38,0.38,0.18,2023-03-26,Port of Tianjin (China)
Microwave Oven,60.51,11.23,0.54,0.44,0.24,2023-03-18,Port of Busan (South Korea)
Ceramic Tiles,14.32,7.42,0.48,0.46,0.01,2023-03-25,Port of Busan (South Korea)
Electric Kettle,64.08,0.68,0.23,0.23,0.25,2023-03-20,Port of Tokyo (Japan)
Pallete of Canned Fruit,186.02,401.88,1.07,0.89,1.33,2023-03-19,Port of Singapore (Singapore)
Toy Car,13.32,0.22,0.33,0.29,0.17,2023-03-23,Port of Busan (South Korea)
Blender,88.26,1.44,0.27,0.31,0.2,2023-03-13,Port of Tokyo (Japan)
Duvet,116.78,2.21,2.33,1.72,0.17,2023-03-20,Port of Tianjin (China)
Box of Chocolate Bar,32.16,2.23,0.78,0.21,0.15,2023-03-13,Port of Singapore (Singapore)
Pallete of Plastic Cups,139.06,327.28,1.2,0.8,1.2,2023-03-22,Port of Singapore (Singapore)
Ceramic Tiles,20.58,5.1,0.26,0.2,0.01,2023-03-26,Port of Singapore (Singapore)
Coffee Beans,215.22,418.84,0.36,0.15,0.15,2023-03-15,Port of Busan (South Korea)
Guitar,70.42,4.99,0.99,0.3,0.07,2023-03-28,Port of Shanghai (China)
Pallete of Breakfast Cereal,141.8,415.01,1.12,0.82,1.42,2023-03-22,Port of Tokyo (Japan)
Headphones,30.81,0.36,0.14,0.13,0.12,2023-03-18,Port of Shanghai (China)
Pallete of Paper Towels,272.97,657.12,1.21,1.01,0.72,2023-03-17,Port of Tianjin (China)
Pallete of Canned Vegetables,108.07,304.69,1.18,0.96,1.21,2023-03-20,Port of Tianjin (China)
Fridge,976.01,83.84,1.17,0.71,0.72,2023-03-20,Port of Shanghai (China)
Pallete of Books,159.55,929.02,0.62,0.32,1.06,2023-03-26,Port of Tianjin (China)
Insulation Rolls,13.3,8.98,1.98,0.76,0.09,2023-03-19,Port of Singapore (Singapore)
Running Shoes,36.57,1.14,0.42,0.17,0.11,2023-03-15,Port of Singapore (Singapore)
Toaster,30.68,1.69,0.41,0.23,0.16,2023-03-22,Port of Tianjin (China)
Medium Box,11.77,0.45,0.59,0.37,0.2,2023-03-28,Port of Shanghai (China)
Tennis Racket,48.95,0.53,0.69,0.28,0.12,2023-03-25,Port of Busan (South Korea)
Wireless Earbuds,259.29,0.14,0.17,0.23,0.08,2023-03-19,Port of Singapore (Singapore)
Armchair,319.15,23.16,1.27,1.05,0.83,2023-03-27,Port of Tokyo (Japan)
Assorted Chocolates,15.73,0.71,0.24,0.26,0.17,2023-03-27,Port of Shanghai (China)
Loaf of Bread,4.59,0.47,0.35,0.11,0.14,2023-03-14,Port of Shanghai (China)
Pillows,26.32,2.0,0.22,0.21,0.13,2023-03-17,Port of Singapore (Singapore)
Corn (Canned),54.35,81.51,0.4,0.3,0.3,2023-03-19,Port of Shanghai (China)
Box of Tea,73.69,2.24,0.7,0.43,0.17,2023-03-20,Port of Singapore (Singapore)
Headphones,47.29,0.29,0.16,0.18,0.19,2023-03-13,Port of Tokyo (Japan)
Weed Eater,55.18,4.78,0.88,0.23,0.13,2023-03-18,Port of Singapore (Singapore)
Gaming Console,653.36,3.64,0.23,0.24,0.19,2023-03-18,Port of Singapore (Singapore)
Pallete of T-shirts,609.36,1984.32,1.16,1.4,0.63,2023-03-26,Port of Tokyo (Japan)
Showerhead,28.18,1.02,0.32,0.2,0.12,,Port of Shanghai (China)
Garden Hose,32.76,1.01,16.22,0.23,0.18,2023-03-21,Port of Tianjin (China)
Small Box,8.18,0.16,0.23,0.27,0.17,2023-03-17,Port of Shanghai (China)
Gardening Gloves,8.05,0.2,0.16,0.08,0.02,2023-03-18,Port of Shanghai (China)
Dining Table,848.37,50.06,1.05,1.09,0.65,2023-03-22,Port of Busan (South Korea)
Pallete of Books,172.77,959.44,0.61,0.35,1.01,2023-03-22,Port of Shanghai (China)
Box of Cans of Tuna,23.38,7.46,0.41,0.42,0.13,2023-03-16,Port of Singapore (Singapore)
Camera,278.54,1.05,0.14,0.12,0.05,2023-03-27,Port of Tianjin (China)
Refrigerator,934.38,65.59,1.31,1.17,1.75,2023-03-26,Port of Tokyo (Japan)
Pallete of Cement,393.2,923.54,1.24,0.8,1.2,,Port of Shanghai (China)
Weed Eater,117.01,3.13,0.83,0.24,0.16,2023-03-24,Port of Shanghai (China)
Extra Large Box,51.12,1.44,1.17,0.8,0.55,2023-03-23,Port of Shanghai (China)
Running Shoes,79.9,0.86,0.29,0.28,0.18,2023-03-17,Port of Busan (South Korea)
Small Shipping Tube,3.19,0.23,0.25,0.07,0.3,2023-03-14,Port of Singapore (Singapore)
Pallete of Tires,638.84,1629.78,1.43,1.08,1.29,2023-03-14,Port of Busan (South Korea)
Foam Roller,34.86,1.15,0.35,0.19,0.19,2023-03-13,Port of Tianjin (China)
Portable Charger,42.85,0.22,0.11,0.05,0.03,2023-03-13,Port of Tokyo (Japan)
Fridge,956.94,102.44,0.89,0.69,0.99,2023-03-24,Port of Tokyo (Japan)
Backpack,20.35,1.28,0.47,0.42,0.13,2023-03-26,Port of Tokyo (Japan)
Car,65342.56,3466.9,4.43,1.92,1.64,2023-03-23,Port of Singapore (Singapore)
Small Box,7.68,0.27,0.25,0.23,0.13,2023-03-27,Port of Tokyo (Japan)
Backpack,25.97,1.01,0.5,0.57,0.15,2023-03-14,Port of Shanghai (China)
Iron,68.62,0.72,0.18,0.12,0.3,2023-03-27,Port of Busan (South Korea)
Snowboard,279.18,3.05,1.21,0.44,0.17,2023-03-23,Port of Shanghai (China)
Snowboard,497.86,2.11,1.21,0.41,0.13,2023-03-27,Port of Tianjin (China)
Messenger Bag,20.93,1.54,0.24,0.5,0.17,2023-03-20,Port of Singapore (Singapore)
Pallete of Beer Cases,254.21,507.07,1.06,0.8,1.1,2023-03-16,Port of Singapore (Singapore)
Piano,4156.66,371.19,1.51,1.93,0.71,2023-03-16,Port of Singapore (Singapore)
Resistance Bands,10.63,0.58,0.12,0.06,0.02,2023-03-21,Port of Tokyo (Japan)
Golf Cart,6037.99,635.79,1.98,1.18,1.43,2023-03-22,Port of Shanghai (China)
Sprinkler System,414.87,8.95,0.73,0.64,0.13,2023-03-20,Port of Busan (South Korea)
Sofa,1765.78,182.09,1.17,1.57,0.71,2023-03-26,Port of Shanghai (China)
Pallete of Canned Vegetables,139.63,319.06,1.05,0.86,1.38,2023-03-27,Port of Shanghai (China)
Glass Sheets,65.13,38.15,1.54,1.47,0.06,2023-03-22,Port of Busan (South Korea)
Extra Large Box,41.12,1.23,1.36,0.61,0.51,2023-03-13,Port of Tokyo (Japan)
Lawn Mower,398.22,34.16,1.15,0.74,0.55,2023-03-17,Port of Tokyo (Japan)
Headphones,160.89,0.35,0.13,0.16,0.17,2023-03-16,Port of Singapore (Singapore)
Pallete of Books,131.17,814.36,0.66,0.38,1.04,2023-03-15,Port of Shanghai (China)
Water Heater,219.56,12.72,0.48,0.31,0.15,2023-03-14,Port of Busan (South Korea)
Speakers,313.19,2.7,0.42,0.41,0.39,2023-03-21,Port of Busan (South Korea)
Showerhead,22.62,0.72,0.25,0.2,0.15,2023-03-18,Port of Busan (South Korea)
Fan,28.89,1.47,0.31,0.26,0.24,2023-03-19,Port of Shanghai (China)
Pallete of Breakfast Cereal,150.51,356.69,1.01,0.9,1.46,2023-03-16,Port of Busan (South Korea)
Box of Pasta,5.93,0.67,0.24,0.2,0.18,2023-03-12,Port of Tokyo (Japan)
Pool Table,856.51,116.81,2.48,1.48,0.53,2023-03-14,Port of Singapore (Singapore)
Jet Ski,6697.33,133.71,1.53,0.91,1.33,2023-03-17,Port of Tianjin (China)
Pallete of Books,294.5,886.44,1.5,0.8,1.03,2023-03-12,Port of Shanghai (China)
Piano,4450.34,268.35,1.48,1.58,0.76,2023-03-14,Port of Busan (South Korea)
Guitar,365.47,4.09,0.39,0.19,0.19,2023-03-26,Port of Busan (South Korea)
Shelves,208.23,8.14,1.17,0.38,1.53,2023-03-22,Port of Busan (South Korea)
Hiking Boots,95.64,1.9,0.39,0.17,0.26,2023-03-15,Port of Tianjin (China)
Rain Jacket,52.24,0.86,0.34,0.25,0.12,2023-03-13,Port of Shanghai (China)
Jet Ski,8591.37,178.39,2.49,1.32,1.25,2023-03-20,Port of Tokyo (Japan)
Medium Shipping Tube,8.06,0.44,0.45,0.2,0.98,2023-03-23,Port of Tokyo (Japan)
Guitar,319.17,2.59,0.39,0.12,0.08,2023-03-18,Port of Tianjin (China)
Running Shoes,94.84,1.28,0.24,0.27,0.18,2023-03-19,Port of Singapore (Singapore)
Pallete of Canned Fruit,132.96,431.73,1.05,0.87,1.48,2023-03-20,Port of Busan (South Korea)
Beach Towel,17.14,0.86,1.92,1.28,0.12,2023-03-28,Port of Busan (South Korea)
Portable Charger,37.46,0.26,0.14,0.07,0.05,2023-03-17,Port of Tianjin (China)
Garden Shovel,18.49,0.89,0.22,0.05,0.02,2023-03-27,Port of Tokyo (Japan)
Garden Hose,18.24,1.04,21.17,0.45,0.27,2023-03-27,Port of Shanghai (China)
Pool Table,615.55,118.8,2.19,1.03,0.58,2023-03-28,Port of Tianjin (China)
Pallete of Clothing,180.27,791.34,1.03,0.86,1.28,2023-03-23,Port of Busan (South Korea)
Palette Water Bottles,261.9,505.15,1.2,0.87,1.0,2023-03-22,Port of Shanghai (China)
Microwave,125.61,11.22,0.53,0.46,0.29,2023-03-12,Port of Tianjin (China)
Motorcycle,2942.34,179.56,2.06,0.75,1.3,2023-03-22,Port of Tokyo (Japan)
Sprinkler System,479.39,8.69,0.98,0.65,0.12,2023-03-28,Port of Busan (South Korea)
Steel Bars,183.01,67.39,2.95,0.18,0.68,2023-03-16,Port of Shanghai (China)
Headphones,125.7,0.28,0.1,0.18,0.07,2023-03-20,Port of Shanghai (China)
Resistance Bands,17.33,0.5,0.14,0.07,0.02,2023-03-19,Port of Tianjin (China)
Tennis Racket,54.19,0.78,0.67,0.2,0.2,2023-03-17,Port of Singapore (Singapore)
Pallete of Crackers,134.52,235.12,1.18,0.83,1.23,2023-03-16,Port of Shanghai (China)
Resistance Loop Bands,21.88,0.33,0.21,0.02,0.02,2023-03-12,Port of Busan (South Korea)
Lawn Mower,338.69,25.56,1.04,0.91,0.62,2023-03-23,Port of Busan (South Korea)
Portable Charger,33.88,0.25,0.18,0.05,0.01,2023-03-24,Port of Tianjin (China)
Teapot,46.46,0.52,0.27,0.29,0.15,2023-03-26,Port of Tokyo (Japan)
Bag of Flour,5.97,0.55,0.4,0.35,0.12,2023-03-16,Port of Singapore (Singapore)
Steel Bars,140.46,89.14,2.16,0.14,0.68,2023-03-26,Port of Singapore (Singapore)
Bassinet,188.05,9.56,0.93,0.55,0.59,2023-03-20,Port of Busan (South Korea)
Big Bag with Coal,107.13,1441.89,1.67,0.8,0.14,2023-03-18,Port of Singapore (Singapore)
Lawn Sprinkler,19.87,1.27,0.46,0.27,0.19,2023-03-26,Port of Busan (South Korea)
Wireless Earbuds,299.31,0.12,0.25,0.23,0.08,2023-03-26,Port of Shanghai (China)
Pallete of Computers,953.92,2401.83,0.97,0.72,0.65,2023-03-16,Port of Singapore (Singapore)
Skipping Rope,12.2,0.18,1.89,0.09,0.01,2023-03-27,Port of Singapore (Singapore)
Toaster,28.88,1.14,0.25,0.22,0.29,2023-03-25,Port of Singapore (Singapore)
Mattress,190.6,40.61,1.75,1.02,0.3,2023-03-12,Port of Busan (South Korea)
Big Bag with Metal Scraps,176.29,1910.87,1.92,0.75,0.14,2023-03-22,Port of Singapore (Singapore)
Pallete of Canned Fruit,188.08,474.63,1.11,0.99,1.22,2023-03-21,Port of Shanghai (China)
Bookshelf,410.61,38.01,0.81,0.79,1.15,,Port of Singapore (Singapore)
Coffee Table,108.07,12.32,0.92,0.53,0.5,2023-03-24,Port of Singapore (Singapore)
Toaster,20.64,1.16,0.21,0.27,0.2,2023-03-19,Port of Tokyo (Japan)
Sewing Machine,597.4,12.71,0.53,0.37,0.59,2023-03-13,Port of Tianjin (China)
Planting Trowel,13.69,0.45,0.18,0.08,0.06,2023-03-19,Port of Tianjin (China)
Sofa,547.63,34.33,1.59,1.26,0.67,2023-03-16,Port of Tianjin (China)
Printer,194.56,9.8,0.41,0.38,0.15,2023-03-22,Port of Shanghai (China)
Weed Eater,65.14,4.92,1.14,0.27,0.18,2023-03-28,Port of Tokyo (Japan)
Measuring Cups and Spoons,17.18,0.67,0.31,0.25,0.18,2023-03-22,Port of Tokyo (Japan)
Pallete of Apples,59.87,236.81,1.03,0.99,0.57,2023-03-18,Port of Tianjin (China)
Garden Hose,24.42,4.44,21.35,0.3,0.14,2023-03-17,Port of Shanghai (China)
Pallete of Beer Cases,267.63,569.72,1.14,0.8,1.1,2023-03-22,Port of Shanghai (China)
Big Bag with Glass Scraps,180.69,1143.18,1.61,0.9,0.13,2023-03-12,Port of Tianjin (China)
Guitar,110.08,4.55,0.95,0.46,0.08,2023-03-25,Port of Busan (South Korea)
Laptop Sleeve,39.97,0.45,0.4,0.07,0.25,2023-03-18,Port of Singapore (Singapore)
Tennis Racket,31.16,0.74,0.62,0.21,0.13,2023-03-13,Port of Tokyo (Japan)
Box of Canned Soup,47.89,6.03,0.66,0.6,0.19,2023-03-12,Port of Shanghai (China)
Large Shipping Tube,27.83,0.68,0.51,0.44,1.21,2023-03-28,Port of Shanghai (China)
Guitar,109.77,3.54,0.35,0.27,0.1,2023-03-12,Port of Tianjin (China)
Mixed Dried Fruits,18.33,0.54,0.27,0.24,0.14,2023-03-22,Port of Singapore (Singapore)
Desk Lamp,49.0,0.71,0.2,0.16,0.23,2023-03-22,Port of Tianjin (China)
Flute,138.94,0.16,0.24,0.02,0.07,2023-03-21,Port of Tianjin (China)
Pallete of Paper Towels,216.21,650.33,1.02,0.99,0.66,2023-03-14,Port of Busan (South Korea)
Pallete of Glassware,594.39,621.92,1.07,0.93,0.66,2023-03-27,Port of Tokyo (Japan)
Microwave Oven,103.63,14.45,0.52,0.51,0.29,2023-03-16,Port of Busan (South Korea)
Sofa,517.23,47.52,2.11,1.45,0.6,2023-03-28,Port of Tokyo (Japan)
Jar of Peanut Butter,5.44,0.44,0.1,0.11,0.14,2023-03-13,Port of Tokyo (Japan)
Digital Camera,170.33,0.66,0.14,0.1,0.06,2023-03-21,Port of Singapore (Singapore)
Lawn Mower,248.34,41.91,1.06,1.03,0.38,2023-03-26,Port of Busan (South Korea)
Drone,979.31,1.5,0.32,0.77,0.24,2023-03-24,Port of Singapore (Singapore)
Pallete of Laptops,10869.01,20662.83,0.78,0.47,0.17,2023-03-28,Port of Busan (South Korea)
Fan,60.99,2.15,0.25,0.37,0.24,2023-03-24,Port of Tokyo (Japan)
Pallete of Crackers,117.14,267.71,1.11,0.83,1.42,2023-03-15,Port of Tokyo (Japan)
Car,112059.79,2310.97,3.53,1.98,1.68,2023-03-18,Port of Tokyo (Japan)
Skipping Rope,12.72,0.11,1.75,0.08,0.02,2023-03-26,Port of Busan (South Korea)
Metal Pipes,72.11,58.62,2.74,0.19,1.26,2023-03-18,Port of Shanghai (China)
